Rehearsal with singers,Rehearsal the song with singers.,2023-10-01,2023-10-31,Music together,Musician staff,Active
Animal show,Special performances from various animals.,2023-10-07,2023-10-21,Pet Expo,-,Active
Pet supplies store,Selling products for pets.,2023-10-05,2023-11-05,Pet Expo,-,Active
Pet contest,Beautiful pet contest activities There are many prizes.,2023-10-25,2023-10-25,Pet Expo,-,Active
Mini concert,Mini concert from many Thai singers.,2023-10-14,2023-10-21,Pet Expo,-,Active
Lucky draw,Random giveaway activities for those who attend the event.,2023-10-05,2023-11-05,Pet Expo,-,Active
Register,Register for a store.,2023-10-05,2023-10-05,Pet Expo,Store booth,Done
Selling products,Selling products at the event.,2023-10-05,2023-11-05,Pet Expo,Store booth,Active
Meeting,Meeting for shops.,2023-10-05,2023-10-05,Pet Expo,Store booth,Done
Shop decoration,Decorate your own shop.,2023-10-05,2023-10-06,Pet Expo,Store booth,Done
Payment,Payment of rent for sales space.,2023-11-05,2023-11-05,Pet Expo,Store booth,Active
Coordinate,Coordinate with all parties.,2023-10-01,2023-10-31,Kpop Dance Jam,Staff,Active
Security,Take care of the safety of the participants.,2023-10-01,2023-10-31,Kpop Dance Jam,Staff,Active
Sound,Sound system maintenance duties.,2023-10-01,2023-10-31,Kpop Dance Jam,Sound department,Active
Location,Take care of the event venue.,2023-10-01,2023-10-31,Kpop Dance Jam,Location department,Active
Apply,Apply to participate in the beautiful pet contest.,2023-10-05,2023-10-25,Pet Expo,Contestant,Active
Service,Welcoming and taking care of attendees.,2023-10-05,2023-11-05,Pet Expo,Service team,Active
1,Bread making theory,2023-10-24,2023-10-24,Bread Marking Course,-,Active
2,Get to know ingredients,2023-10-24,2023-10-24,Bread Marking Course,-,Active
3,Process pf mixing dough,2023-10-24,2023-10-24,Bread Marking Course,-,Active
4,Get to know type of yeast,2023-10-25,2023-10-25,Bread Marking Course,-,Active
5,Learn 2 bread menus,2023-10-25,2023-10-25,Bread Marking Course,-,Active
Meeting,Meeting other teacher and staff.,2023-10-19,2023-10-21,Bread Marking Course,Teacher,Active
Meet,Meeting  staff and teacher.,2023-10-19,2023-10-21,Bread Marking Course,Food Staff,Active
Meeting,Meeting  staff and teacher.,2023-10-19,2023-10-20,Bread Marking Course,Tool Staff,Active
Prepare,Prepare for teaching with other teacher.,2023-10-21,2023-10-22,Bread Marking Course,Teacher,Active
Prepare,Prepare food for people at the event.,2023-10-23,2023-10-25,Bread Marking Course,Food Staff,Active
Prepare,Prepare cooking equipmentใ,2023-10-23,2023-10-24,Bread Marking Course,Tool Staff,Active
1st,Jay sing a song 'lost'.,2023-10-25,2023-10-27,Jay Solo Concert in BKK,-,Active
2nd,Jay introduce himself.,2023-10-25,2023-10-27,Jay Solo Concert in BKK,-,Active
3th,Jay sing a lots of song in NCT127.,2023-10-25,2023-10-27,Jay Solo Concert in BKK,-,Active
Sound check,Check the various audio equipment to be ready.,2023-10-23,2023-10-27,Jay Solo Concert in BKK,Sound Staff,Active
send list,Send the desired food lists to the artist for inspection.,2023-10-17,2023-10-19,Jay Solo Concert in BKK,Food Support,Active
send food,Deliver food to the staff to handle.,2023-10-24,2023-10-27,Jay Solo Concert in BKK,Food Support,Active
prepare,Get the stage ready,2023-10-22,2023-10-23,Jay Solo Concert in BKK,Location Staff,Active
check,Check the safety of the prepared stage.,2023-10-23,2023-10-27,Jay Solo Concert in BKK,Location Staff,Active
Watch a movie,Let's watch a movie together.,2023-10-05,2023-10-30,Movie lover,-,Active
Promote,Promote your favorite movies,2023-10-03,2023-10-31,Movie lover,-,Active
Design a poster,Design a movie poster to win prizes.,2023-10-06,2023-10-30,Movie lover,-,Active
review,Review of movies you've seen,2023-10-01,2023-10-31,Movie lover,-,Active
Vote for movies,Vote for your favorite movie.,2023-10-04,2023-10-22,Movie lover,-,Active
sell books,Collection of books from around the world for sale.,2023-10-02,2023-10-30,National Book Fair,-,Active
food booth,Restaurants that opened for sale at the event,2023-10-06,2023-10-31,National Book Fair,-,Active
vote,Vote for your favorite book,2023-10-03,2023-10-31,National Book Fair,-,Active
Give away prizes,For people with book purchases of more than 500 baht,2023-10-06,2023-10-31,National Book Fair,-,Active
Check,Check items and product list,2023-10-03,2023-10-31,National Book Fair,Packing staff,Active
Pack products,Pack products in boxes,2023-10-04,2023-10-31,National Book Fair,Packing staff,Active
Deliver items,Send the item to the recipient,2023-10-07,2023-10-31,National Book Fair,Packing staff,Active
patrol,Check the surrounding area,2023-10-03,2023-10-31,National Book Fair,Security department,Active
Position,Positioned at various points to ensure the safety of others.,2023-10-04,2023-10-31,National Book Fair,Security department,Active
Stationed at CCTV,Keep watch through CCTV cameras.,2023-10-03,2023-10-31,National Book Fair,Security department,Active
At the literary bookstore,Waiting to sell products and give advice,2023-10-07,2023-10-31,National Book Fair,Sales department,Active
At the bookstore of translated novels,Waiting to sell products and give advice,2023-10-07,2023-10-31,National Book Fair,Sales department,Active
Regular at the fan fiction bookstore.,Waiting to sell products and give advice,2023-10-07,2023-10-31,National Book Fair,Sales department,Active
Stationed at the textbook store,Waiting to sell products and give advice,2023-10-07,2023-10-31,National Book Fair,Sales department,Active
Regular at the children's bookstore,Waiting to sell products and give advice,2023-10-07,2023-10-31,National Book Fair,Sales department,Active
Page admin,Take care of page followers,2023-10-04,2023-10-31,National Book Fair,IT department,Active
Look at the lights and sound equipment.,Look at the lighting and sound equipment of the event.,2023-10-07,2023-10-31,National Book Fair,IT department,Active
Take care of CCTV cameras,Keep checking the system,2023-10-03,2023-10-31,National Book Fair,IT department,Active
Make a website,For public relations and contact,2023-10-01,2023-10-31,National Book Fair,IT department,Active
Media of the event,Take care of the entire activity system,2023-10-07,2023-10-31,National Book Fair,IT department,Active
Sitting at the information desk,Regularly at the information desk,2023-10-07,2023-10-31,National Book Fair,PR,Active
MC,Stage host at the event,2023-10-07,2023-10-31,National Book Fair,PR,Active
Public relations online,Publicize the event through online media on the page and website.,2023-10-07,2023-10-31,National Book Fair,PR,Active
Page admin,Keep sending news public relations and answer questions from those who are interested,2023-10-02,2023-10-31,National Book Fair,PR,Active
At various points in the event,Regularly at book booths,2023-10-07,2023-10-31,National Book Fair,PR,Active
Take care of the car going in and out,Security and convenience,2023-10-07,2023-10-31,National Book Fair,Security department,Active
Stationed at the entrance,Guiding and inspecting people entering and exiting. Check the carrying of items that may harm others.,2023-10-07,2023-10-31,National Book Fair,Security department,Active
Arrange products,Separate products according to different addresses for easy transportation.,2023-10-03,2023-10-31,National Book Fair,Packing staff,Active
Check the products before getting on the delivery truck.,Check product condition Check the items that need to be sent.,2023-10-03,2023-10-31,National Book Fair,Packing staff,Active
Vote,Vote for the best work,2023-10-03,2023-10-31,Movie lover,committee member,Active
cook,Make popcorn for watching movies,2023-10-05,2023-10-31,Movie lover,food and beverage staff,Active
Check raw materials,Always check the list of objects and replenish raw materials.,2023-10-04,2023-10-31,Movie lover,food and beverage staff,Active
sell food,Stationed in front of the counter and counting money.,2023-10-03,2023-10-31,Movie lover,food and beverage staff,Active
Pack food,Put the popcorn in a bag. Prepare beverages for sale.,2023-10-03,2023-10-31,Movie lover,food and beverage staff,Active
Clean the device,Clean equipment and take out trash.,2023-10-02,2023-10-31,Movie lover,food and beverage staff,Active
Organize work lists,Organize a list of tasks for easy review and voting.,2023-10-03,2023-10-31,Movie lover,committee member,Active
Announcing the winner,Announcing the top 3 winners,2023-10-20,2023-10-31,Movie lover,committee member,Active
Award giving,Give prizes to the winners,2023-10-26,2023-10-31,Movie lover,committee member,Active
Select works,Select works that pass the criteria to be voted on.,2023-10-03,2023-10-31,Movie lover,committee member,Active
Stationed at CCTV,Monitor people entering and exiting through the monitor.,2023-10-01,2023-10-31,Movie lover,Security Department,Active
Regularly at various points,Keep checking in various areas.,2023-10-03,2023-10-31,Movie lover,Security Department,Active
Check people in and out,Check people coming in and out of the movie screening room.,2023-10-04,2023-10-31,Movie lover,Security Department,Active
ticket checker,Check movie tickets,2023-10-03,2023-10-31,Movie lover,Security Department,Active
Stationed at the parking lot,Facilitate and inspect the area,2023-10-03,2023-10-31,Movie lover,Security Department,Active
Administer the system,Take care of the website system,2023-10-01,2023-10-31,Movie lover,IT staff,Active
website design,website design,2023-10-01,2023-10-31,Movie lover,IT staff,Active
Media of the event,Take care of the entire activity system,2023-10-01,2023-10-31,Movie lover,IT staff,Active
Check out the movie projector,Check the orderliness.,2023-10-01,2023-10-31,Movie lover,IT staff,Active
Take care of CCTV cameras,Keep checking the system,2023-10-01,2023-10-31,Movie lover,IT staff,Active
Take care of the page,Take care of the page,2023-10-01,2023-10-31,Movie lover,Page admin,Active
Page admin,Take care of page followers and various public relations information.,2023-10-01,2023-10-31,Movie lover,Page admin,Active
Check for spam and profanity.,Check for spam and profanity within the page in the comments.,2023-10-01,2023-10-31,Movie lover,Page admin,Active
Take care of posting,Take care of whether each post is appropriate or not.,2023-10-01,2023-10-31,Movie lover,Page admin,Active
talk interaction,Talk and interact with page followers in a polite and friendly manner.,2023-10-01,2023-10-31,Movie lover,Page admin,Active
Sketching designs,Sketching designs of our clothing for our fashion show!,2023-10-01,2023-10-31,Vintage Winter Fashion Show,We're designers,Active
Matching outfits,Matching outfits with footwear and accrssories.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,We're designers,Active
Making dresses,Making dresses by the approved designs.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,We're designers,Active
Select your dress,Select your dress from dresses that our designers made.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,Models,Active
Meet makeup artist,Meet makeup artist for designing your makeup.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,Models,Active
D day the Runway,This day will be the day that you will work on our real runway so be prepare!.,2023-10-22,2023-10-28,Vintage Winter Fashion Show,Models,Active
Vintage Makeup Tutorials,Conduct live vintage makeup tutorials. Focus on iconic winter makeup looks from different eras such as the 1980s.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,Make up artist,Active
Backstage Makeup for Models,Provide makeup services for the models participating in the fashion show.,2023-10-22,2023-10-28,Vintage Winter Fashion Show,Make up artist,Active
Work with the designers,Work closely with the fashion designers and hairstylists to create cohesive vintage winter looks that complement the clothing.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,Make up artist,Active
Makeup Trials,we will schedule one-on-one makeup trials and consultations with each model.,2023-10-01,2023-10-31,Vintage Winter Fashion Show,Make up artist,Active
Karaoke Sing-Along,Set up a karaoke station with a variety of songs. Participants can take turns singing their favorite tunes.,2023-10-01,2023-10-31,Music together,Song staff,Active
Musical Scavenger Hunt,Create a list of musical items or clues related to songs with the Song Staff Team providing hints and playing corresponding songs.,2023-10-01,2023-10-31,Music together,Musician staff,Active
Musical Storytelling,Choose a popular children's story and add a musical twist to it. The Song Staff Team can narrate the story while incorporating songs and music related to the plot.,2023-10-01,2023-10-31,Music together,Song staff,Active
Welcome Song,Start the event with a catchy welcome song that sets the tone for the day. Encourage everyone to sing along and get into the musical spirit.,2023-10-01,2023-10-31,Music together,Song staff,Active
Signature Drink Creation,Create a unique menu of signature drinks inspired by the musical theme of the event.,2023-10-01,2023-10-31,Music together,Drinks staff,Active
Interactive Beverage Stations,Set up interactive beverage stations with DIY drink options.,2023-10-01,2023-10-31,Music together,Drinks staff,Active
Themed Drink Challenges,Organize drink challenges based on famous songs or artists.,2023-10-01,2023-10-31,Music together,Drinks staff,Active
Sensory Tasting Experience,Highlight the flavors and aromas of different beverages and how they can be linked to music.,2023-10-01,2023-10-31,Music together,Drinks staff,Active
Registration and Check-In,Have location staff set up registration tables to welcome participants.,2023-10-01,2023-10-31,Music together,Location staff,Active
Coordinate Performers,work closely with musicians to ensure they have what they need and assist with setup and sound checks and help manage their interaction with the audience.,2023-10-01,2023-10-31,Music together,Location staff,Active
Collect Feedback,At the end of the event gather feedback from participants about their experience,2023-10-22,2023-10-31,Music together,Location staff,Active
Assist with Seating,Ensure that seating is comfortable and accessible for all participants.,2023-10-01,2023-10-31,Music together,Location staff,Active
Duet or Trio Performances,Showcase the versatility of the singer team by having them perform duets or trios with each other or with selected attendees.,2023-10-22,2023-10-31,Music together,Singers,Active
Themed Performance Sets,Create themed performance sets where the singer team sings songs related to a particular theme or genre.,2023-10-01,2023-10-31,Music together,Musician staff,Active
Vocal Workshops,Vocal workshops led by the singer team to teach attendees techniques for improving their singing,2023-10-01,2023-10-31,Music together,Singers,Active
Interactive Sing-Along,Organize a sing-along session where the singer team leads the audience in singing popular songs.,2023-10-01,2023-10-31,Music together,Singers,Active
Opening Performance,Create plan to start the event with a bang by having the singer team deliver an energetic opening performance.,2023-10-01,2023-10-31,Music together,Singers,Active
Instrument set up,Set up Instrument s for the performace.,2023-10-08,2023-10-31,Music together,Musician staff,Active
Public relations,Publicize the event in online media.,2023-10-01,2023-10-31,Kpop Dance Jam,Staff,Active
Register for attendees,Take care of the registration of event participants.,2023-10-01,2023-10-31,Kpop Dance Jam,Staff,Active
Security Kpop Dance Jam,Take care of the safety of the place.,2023-10-01,2023-10-31,Kpop Dance Jam,Location department,Active
Seat,Arrange seating at the event.,2023-10-01,2023-10-31,Kpop Dance Jam,Location department,Active
Stage show,Set the stage beautifully.,2023-10-01,2023-10-31,Kpop Dance Jam,Location department,Active
Cleanliness,Cleaning inside the event.,2023-10-01,2023-10-31,Kpop Dance Jam,Location department,Active
Sound Test Test,Test the sound system.,2023-10-01,2023-10-31,Kpop Dance Jam,Sound department,Active
Sound control,Sound control within the event.,2023-10-01,2023-10-31,Kpop Dance Jam,Sound department,Active
Coordination,Coordinate with other departments.,2023-10-01,2023-10-31,Kpop Dance Jam,Sound department,Active
Song Song,Turn on the song.,2023-10-01,2023-10-31,Kpop Dance Jam,Sound department,Active
Give advice,Give advice to attendees.,2023-10-05,2023-11-05,Pet Expo,Service team,Active
Register pet owners,Check the registration of event attendees.,2023-10-05,2023-11-05,Pet Expo,Service team,Active
Information,Publicize important information within the event.,2023-10-05,2023-11-05,Pet Expo,Service team,Active
Manage problems,Manage basic problems that arise within the event.,2023-10-05,2023-11-05,Pet Expo,Service team,Active
Verify,Confirm the identity of the contestant.,2023-10-24,2023-10-25,Pet Expo,Contestant,Active
Practice round,Practice round before the actual contest.,2023-10-24,2023-10-24,Pet Expo,Contestant,Active
The contest,Contest day.,2023-10-25,2023-10-25,Pet Expo,Contestant,Active
Winner,Announcement of winners with prizes.,2023-10-25,2023-10-25,Pet Expo,Contestant,Active
